PassengerId,Survived
892,0.12722974
893,0.45462704
894,0.12645796
895,0.14488603
896,0.68071115
897,0.29184318
898,0.40273243
899,0.17299736
900,0.8267636
901,0.10624175
902,0.14488603
903,0.217782
904,1.0925549
905,0.08051359
906,1.4114921
907,0.7913525
908,0.1701262
909,0.16724408
910,0.36313123
911,0.592431
912,0.12479404
913,0.38646522
914,0.92108357
915,0.40169626
916,1.1271347
917,0.082879946
918,0.9057479
919,0.16019617
920,0.27977157
921,0.07899564
922,0.112828836
923,0.13053508
924,0.62240994
925,0.72816926
926,0.34899673
927,0.25827932
928,0.46529692
929,0.45240456
930,0.15091422
931,0.14488603
932,0.12294852
933,0.53381073
934,0.11462477
935,0.91188437
936,1.3221779
937,0.1720511
938,0.26429886
939,0.14488603
940,1.414872
941,0.74847776
942,0.37738565
943,0.19397934
944,0.4128063
945,0.584991
946,0.21975847
947,0.06573306
948,0.12620029
949,0.45880336
950,0.122226335
951,0.771357
952,0.19625178
953,0.20160499
954,0.22074525
955,0.49606523
956,0.2384323
957,1.0789263
958,0.5287849
959,0.21456534
960,0.49134612
961,0.9961147
962,0.4830398
963,0.16724408
964,0.45409727
965,0.5809257
966,0.8612613
967,0.39120612
968,0.14488603
969,0.96153784
970,0.20832595
971,0.4343399
972,0.304406
973,0.18351638
974,0.20824912
975,0.14488603
976,0.21975847
977,0.10728245
978,0.41810054
979,0.5287849
980,0.41810054
981,0.9542359
982,0.80691487
983,0.14488603
984,1.041033
985,0.14488603
986,0.2665979
987,0.1720511
988,0.9617305
989,0.1585078
990,0.56909126
991,0.14790641
992,1.325276
993,0.14479588
994,0.14488603
995,0.19226593
996,0.668909
997,0.16151129
998,0.16724408
999,0.14488603
1000,0.18788461
1001,0.5496125
1002,0.17534558
1003,0.46529692
1004,0.7526073
1005,0.4703136
1006,0.9926381
1007,0.13935646
1008,0.14488603
1009,0.7986359
1010,0.37476197
1011,0.8349568
1012,0.7360789
1013,0.10728245
1014,1.0879512
1015,0.16151129
1016,0.14488603
1017,0.54907477
1018,0.18670797
1019,0.24800397
1020,0.15262376
1021,0.15433776
1022,0.15039693
1023,0.9154438
1024,0.7006404
1025,0.122226335
1026,0.111027494
1027,0.17632361
1028,0.1463089
1029,0.19760609
1030,0.44008598
1031,0.12887947
1032,0.20578541
1033,0.6200998
1034,0.21048728
1035,0.2157071
1036,0.32969227
1037,0.06107445
1038,0.6086995
1039,0.16239212
1040,0.29029965
1041,0.46745366
1042,1.2125994
1043,0.14488603
1044,0.08383609
1045,0.74847776
1046,0.06096802
1047,0.15433776
1048,0.8836754
1049,0.4893846
1050,0.45331615
1051,0.7415918
1052,0.41810054
1053,0.36375841
1054,0.53420305
1055,0.14488603
1056,0.56572914
1057,0.591982
1058,0.26929927
1059,0.12459032
1060,1.2332819
1061,0.49606523
1062,0.14488603
1063,0.14488603
1064,0.13466918
1065,0.14488603
1066,0.15226226
1067,0.7088572
1068,0.5693472
1069,0.28143066
1070,1.5238311
1071,1.5202032
1072,0.20832595
1073,0.50005877
1074,1.2506781
1075,0.14488603
1076,1.1964424
1077,0.17805493
1078,0.70083237
1079,0.10846665
1080,0.043737035
1081,0.15742743
1082,0.1455382
1083,0.29029965
1084,0.27182642
1085,0.113212526
1086,0.6141666
1087,0.1679073
1088,0.6296455
1089,0.5287849
1090,0.24037305
1091,0.7072746
1092,0.41810054
1093,1.5263867
1094,0.79794145
1095,0.7582953
1096,0.22894892
1097,0.29029965
1098,0.37810522
1099,0.26875207
1100,0.770195
1101,0.15091422
1102,0.15039693
1103,0.14488603
1104,0.307467
1105,0.5514208
1106,0.16004774
1107,0.29287186
1108,0.46529692
1109,0.14198145
1110,1.1049159
1111,0.1647291
1112,0.4994269
1113,0.19317047
1114,1.1790538
1115,0.19317047
1116,0.9194742
1117,0.80656815
1118,0.18115754
1119,0.41810054
1120,0.13112456
1121,0.21410294
1122,0.38200688
1123,0.6832196
1124,0.14363372
1125,0.14488603
1126,0.3097017
1127,0.2007886
1128,0.25942704
1129,0.1728418
1130,0.48181406
1131,1.1067864
1132,0.9030452
1133,0.7000616
1134,0.41137412
1135,0.14488603
1136,0.096920975
1137,0.3569432
1138,0.93792903
1139,0.13275872
1140,0.7636935
1141,0.6332003
1142,1.2477984
1143,0.2372656
1144,0.36284563
1145,0.17632361
1146,0.13147965
1147,0.1647291
1148,0.14488603
1149,0.14217477
1150,0.6366682
1151,0.19317047
1152,0.117382206
1153,0.19317047
1154,1.0300972
1155,1.0684195
1156,0.23588003
1157,0.14488603
1158,0.32850462
1159,0.1647291
1160,0.46529692
1161,0.19625178
1162,0.3672914
1163,0.14488603
1164,1.1798702
1165,0.3245027
1166,0.1647291
1167,0.63392514
1168,0.2157071
1169,0.116593204
1170,0.15561707
1171,0.24735418
1172,0.44008598
1173,0.88488775
1174,0.41810054
1175,0.59906185
1176,0.98239946
1177,0.12417611
1178,0.18788461
1179,0.32229763
1180,0.40543354
1181,0.14488603
1182,0.32850462
1183,0.4990595
1184,0.14488603
1185,0.53179514
1186,0.12417611
1187,0.14778358
1188,1.0402037
1189,0.07899564
1190,0.2761151
1191,0.13961346
1192,0.15039693
1193,0.38071558
1194,0.17609856
1195,0.15433776
1196,0.46529692
1197,0.9689187
1198,0.41118887
1199,1.1289053
1200,0.2129158
1201,0.57551324
1202,0.22074525
1203,0.16239212
1204,0.14488603
1205,0.36850208
1206,1.2395346
1207,0.48323387
1208,0.19964187
1209,0.27671102
1210,0.1647291
1211,0.13791336
1212,0.16821793
1213,0.41471446
1214,0.51550543
1215,0.26373455
1216,0.5850482
1217,0.15813121
1218,0.8165943
1219,0.27678388
1220,0.15839852
1221,0.22170644
1222,1.0669074
1223,0.28775346
1224,0.14488603
1225,0.7067213
1226,0.14488603
1227,0.44762987
1228,0.22805052
1229,0.1281745
1230,0.20150672
1231,0.09394373
1232,0.29062828
1233,0.15039693
1234,0.19808441
1235,1.3062893
1236,0.093463026
1237,0.5516504
1238,0.22414085
1239,0.70456564
1240,0.20575564
1241,0.506783
1242,1.3992113
1243,0.22894892
1244,0.24634087
1245,0.10935714
1246,1.3827806
1247,0.48107725
1248,0.92859656
1249,0.14488603
1250,0.14488603
1251,0.67727184
1252,0.014771432
1253,0.737396
1254,0.98510027
1255,0.14488603
1256,1.3035644
1257,0.74138105
1258,0.10728245
1259,0.55156314
1260,0.997427
1261,0.24014702
1262,0.16617551
1263,1.1060395
1264,0.29754105
1265,0.16745195
1266,0.78697145
1267,0.6067546
1268,0.26944178
1269,0.25550938
1270,0.32535514
1271,0.17192201
1272,0.14488603
1273,0.14778358
1274,0.64374065
1275,0.6275818
1276,0.21975847
1277,0.45678914
1278,0.20282927
1279,0.12064464
1280,0.16724408
1281,0.20993423
1282,0.42067593
1283,1.4774321
1284,0.24474691
1285,0.14120257
1286,0.057570286
1287,1.160441
1288,0.15433776
1289,1.0131457
1290,0.18670797
1291,0.1529799
1292,0.88060045
1293,0.12038097
1294,0.7566993
1295,0.40079552
1296,0.34772792
1297,0.5643244
1298,0.18019451
1299,0.2743581
1300,0.46529692
1301,0.75705326
1302,0.41810054
1303,1.2597219
1304,0.45965415
1305,0.14488603
1306,1.442457
1307,0.13534886
1308,0.144886
1309,0.081519276
